Car_Name               ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI         ,Price_original ,Price  ,Kilometers_Numeric ,Price_Numeric ,Year ,EMI_Numeric
Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,69.47k km  ,Petrol    ,Auto         ,"13,087/m*" ,6.94L          ,6.69L  ,             69.47 ,         6.69 ,2018 ,    13087.0
Hyundai NEW SANTRO     ,ASTA MT                            ,39.33k km  ,Petrol    ,Manual       ,"7,440/m*"  ,4.66L          ,3.81L  ,             39.33 ,         3.81 ,2021 ,     7440.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,87.77k km  ,Petrol    ,Manual       ,"12,568/m*" ,5.82L          ,5.65L  ,             87.77 ,         5.65 ,2015 ,    12568.0
Hyundai NEW I20        ,ASTA (O) 1.0 TURBO GDI DCT         ,31.68k km  ,Petrol    ,Auto         ,"14,282/m*" ,8.43L          ,7.31L  ,             31.68 ,         7.31 ,2021 ,    14282.0
Hyundai Creta          ,E PLUS 1.6 PETROL                  ,42.44k km  ,Petrol    ,Manual       ,"13,006/m*" ,7.52L          ,6.65L  ,             42.44 ,         6.65 ,2019 ,    13006.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,43.58k km  ,Petrol    ,Manual       ,"12,863/m*" ,6.83L          ,6.58L  ,             43.58 ,         6.58 ,2017 ,    12863.0
Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,64.85k km  ,Petrol    ,Manual       ,"12,899/m*" ,7.07L          ,6.60L  ,             64.85 ,         6.6  ,2020 ,    12899.0
Hyundai NEW I20        ,ASTA (O) 1.2 AT                    ,30.04k km  ,Petrol    ,Auto         ,"15,513/m*" ,9.28L          ,8.15L  ,             30.04 ,         8.15 ,2022 ,    15513.0
Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,72.27k km  ,Petrol    ,Manual       ,"12,166/m*" ,7.38L          ,6.22L  ,             72.27 ,         6.22 ,2020 ,    12166.0
Hyundai i20            ,SPORTZ 1.2                         ,30.92k km  ,Petrol    ,Manual       ,"9,134/m*"  ,2.75L          ,None   ,             30.92 ,              ,2013 ,     9134.0
Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,33.52k km  ,Petrol    ,Manual       ,"7,242/m*"  ,2.75L          ,None   ,             33.52 ,              ,2014 ,     7242.0
Hyundai Xcent          ,S 1.2                              ,1.1L km    ,Petrol    ,Manual       ,"7,563/m*"  ,3.87L          ,3.40L  ,              1.1  ,         3.4  ,2016 ,     7563.0
Hyundai Creta          ,SX PLUS 1.6 PETROL                 ,81.04k km  ,Petrol    ,Manual       ,"10,068/m*" ,5.92L          ,5.15L  ,             81.04 ,         5.15 ,2016 ,    10068.0
Hyundai VENUE          ,SX 1.0 (O) TURBO IMT               ,22.47k km  ,Petrol    ,Manual       ,"16,274/m*" ,9.16L          ,8.55L  ,             22.47 ,         8.55 ,2022 ,    16274.0
