Car_Name                    ,Variant                            ,Kilometers ,Fuel_Type ,Transmission ,EMI              ,Price_original ,Price
2014 Hyundai Grand i10      ,ASTA 1.2 KAPPA VTVT                ,34.46k km  ,Petrol    ,Manual       ,"EMI ₹8,295/m*"  ,₹3.33L         ,₹3.15 lakh
2021 Hyundai VENUE          ,SX 1.0 TURBO IMT                   ,38.02k km  ,Petrol    ,Manual       ,"EMI ₹13,783/m*" ,₹7.63L         ,₹7.05 lakh
2019 Hyundai VENUE          ,SX 1.0 TURBO                       ,71.15k km  ,Petrol    ,Manual       ,"EMI ₹12,121/m*" ,₹6.44L         ,₹6.20 lakh
2021 Hyundai VENUE          ,S 1.2                              ,28.41k km  ,Petrol    ,Manual       ,"EMI ₹11,535/m*" ,₹5.90 lakh     ,
2018 Hyundai Grand i10      ,MAGNA U2 1.2 CRDI                  ,50.83k km  ,Diesel    ,Manual       ,"EMI ₹8,213/m*"  ,₹4.20 lakh     ,
2019 Hyundai Elite i20      ,ASTA 1.2 (O)                       ,90.54k km  ,Petrol    ,Manual       ,"EMI ₹10,068/m*" ,₹5.31L         ,₹5.15 lakh
2021 Hyundai GRAND I10 NIOS ,SPORTZ 1.2 KAPPA VTVT CNG          ,45.47k km  ,CNG       ,Manual       ,"EMI ₹10,166/m*" ,₹5.34L         ,₹5.20 lakh
2015 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,40.82k km  ,Petrol    ,Manual       ,"EMI ₹6,896/m*"  ,₹3.10 lakh     ,
2017 Hyundai Creta          ,E PLUS 1.4 DIESEL                  ,49.97k km  ,Diesel    ,Manual       ,"EMI ₹14,218/m*" ,₹7.27 lakh     ,
2014 Hyundai Elite i20      ,SPORTZ 1.2                         ,43.32k km  ,Petrol    ,Manual       ,"EMI ₹9,085/m*"  ,₹3.45 lakh     ,
2020 Hyundai AURA           ,SX PLUS 1.2 AMT                    ,23.94k km  ,Petrol    ,Auto         ,"EMI ₹10,753/m*" ,₹5.96L         ,₹5.50 lakh
2013 Hyundai Grand i10      ,MAGNA 1.2 KAPPA VTVT               ,87.55k km  ,Petrol    ,Manual       ,"EMI ₹8,650/m*"  ,₹2.60 lakh     ,
2012 Hyundai Eon            ,ERA                                ,69.24k km  ,Petrol    ,Manual       ,"EMI ₹4,801/m*"  ,₹1.02 lakh     ,
2012 Hyundai Eon            ,ERA +                              ,34.76k km  ,Petrol    ,Manual       ,"EMI ₹5,602/m*"  ,₹1.19 lakh     ,
2017 Hyundai Eon            ,MAGNA +                            ,31.11k km  ,Petrol    ,Manual       ,"EMI ₹5,142/m*"  ,₹2.63 lakh     ,
2014 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,45.25k km  ,Petrol    ,Manual       ,"EMI ₹7,242/m*"  ,₹2.75 lakh     ,
2016 Hyundai Verna          ,FLUIDIC 4S1.6 VTVT SX AT           ,42.24k km  ,Petrol    ,Auto         ,"EMI ₹8,504/m*"  ,₹4.35 lakh     ,
2012 Hyundai i20            ,ASTA 1.2                           ,1.1L km    ,Petrol    ,Manual       ,"EMI ₹9,933/m*"  ,₹2.11 lakh     ,
2016 Hyundai Grand i10      ,SPORTZ 1.2 KAPPA VTVT              ,13.34k km  ,Petrol    ,Manual       ,"EMI ₹7,038/m*"  ,₹3.60 lakh     ,
2010 Hyundai i20            ,MAGNA 1.2                          ,1.5L km    ,Petrol    ,Manual       ,₹1.32 lakh       ,₹1.32 lakh     ,
2012 Hyundai Eon            ,MAGNA +                            ,94.16k km  ,Petrol    ,Manual       ,"EMI ₹8,756/m*"  ,₹1.86 lakh     ,
2011 Hyundai i10            ,SPORTZ 1.2                         ,89.20k km  ,Petrol    ,Manual       ,"EMI ₹12,883/m*" ,₹1.45 lakh     ,
2017 Hyundai Creta          ,SX PLUS AT 1.6 DIESEL              ,63.36k km  ,Diesel    ,Auto         ,"EMI ₹14,663/m*" ,₹7.50 lakh     ,
2020 Hyundai VENUE          ,E 1.2                              ,35.43k km  ,Petrol    ,Manual       ,"EMI ₹11,417/m*" ,₹5.84 lakh     ,
2018 Hyundai Verna          ,1.6 VTVT SX (O) AT                 ,58.41k km  ,Petrol    ,Auto         ,"EMI ₹10,968/m*" ,₹5.61 lakh     ,
2013 Hyundai i10            ,MAGNA 1.1                          ,31.48k km  ,Petrol    ,Manual       ,"EMI ₹6,078/m*"  ,₹1.83 lakh     ,
